ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
URG,2021,,16000.0,-6984000.0,-16757000.0,-22938000.0,733000.0,,120839000.0,69386000.0,,46189000.0,,,,,1190000.0,-436.5,,-13238030.0,,0.21,USD,GAAP,edgar,2026-04-06 10:05:41.260810,
URG,2022,,19000.0,-6842000.0,-19794000.0,-17140000.0,463000.0,,107895000.0,62499000.0,,33003000.0,,,,,709000.0,-360.10526315789474,,-15637260.0,,0.21,USD,GAAP,edgar,2026-04-06 10:05:41.260810,
URG,2023,,17679000.0,-1686000.0,-30842000.0,-30656000.0,,,128376000.0,74870000.0,,59700000.0,,,,,2039000.0,-0.09536738503309011,,-24365180.0,,0.21,USD,GAAP,edgar,2026-04-06 10:05:41.260810,
URG,2024,,33706000.0,-8973000.0,-63089000.0,-53189000.0,,,194128000.0,132799000.0,,76055000.0,,,,,9046000.0,-0.2662137304930873,,-49840310.0,,0.21,USD,GAAP,edgar,2026-04-06 10:05:41.260810,
URG,2025,,27207000.0,74000.0,-69380000.0,-74898000.0,,,272459000.0,77452000.0,,123863000.0,,,,,23620000.0,0.0027198882640496933,,-54810200.0,,0.21,USD,GAAP,edgar,2026-04-06 10:05:41.260810,
