ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
SRP.L,2021,2021-12-31 00:00:00,4424600000.0,468000000.0,215600000.0,303900000.0,23400000.0,,2734000000.0,1006700000.0,312100000.0,198300000.0,852700000.0,144000000.0,,,,0.10577227319983727,267800000.0,161700000.0,0.6038088125466766,0.25,GBP,IFRS,yfinance,2026-03-23 09:57:53.378107,
SRP.L,2022,2022-12-31 00:00:00,4534000000.0,493500000.0,219900000.0,155400000.0,23100000.0,,2750200000.0,1028200000.0,218400000.0,55800000.0,945000000.0,158000000.0,,,,0.108844287604764,245800000.0,164925000.0,0.6709723352318958,0.25,GBP,IFRS,yfinance,2026-03-23 09:57:53.378107,
SRP.L,2023,2023-12-31 00:00:00,4873800000.0,495500000.0,275700000.0,202400000.0,28700000.0,,2610300000.0,1034000000.0,155200000.0,94400000.0,906700000.0,115600000.0,,,,0.1016660511305347,188100000.0,206775000.0,1.0992822966507176,0.25,GBP,IFRS,yfinance,2026-03-23 09:57:53.378107,
SRP.L,2024,2024-12-31 00:00:00,4787300000.0,518600000.0,133000000.0,44200000.0,36000000.0,,2660300000.0,842500000.0,237600000.0,183000000.0,826200000.0,101400000.0,,,,0.10832828525473649,70900000.0,99750000.0,1.4069111424541607,0.25,GBP,IFRS,yfinance,2026-03-23 09:57:53.378107,
SRP.L,2025,2025-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.25,GBP,IFRS,yfinance,2026-03-23 09:57:53.378107,
