ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
ESLT,2021,2021-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.21,USD,GAAP,yfinance,2026-03-30 10:12:28.347652,
ESLT,2022,2022-12-31 00:00:00,5511549000.0,1373283000.0,333708000.0,275448000.0,41150000.0,,9215651000.0,2755221000.0,680078000.0,211108000.0,1502494000.0,435061000.0,,,,0.249164617787123,1721697000.0,263629320.0,0.15312178623764808,0.21,USD,GAAP,yfinance,2026-03-30 10:12:28.347652,
ESLT,2023,2023-12-31 00:00:00,5974744000.0,1482954000.0,323817000.0,215131000.0,97323000.0,,9739582000.0,2947503000.0,384074000.0,197429000.0,1499065000.0,390520000.0,,,,0.24820377241267574,1635083000.0,255815430.0,0.15645409437930674,0.21,USD,GAAP,yfinance,2026-03-30 10:12:28.347652,
ESLT,2024,2024-12-31 00:00:00,6827871000.0,1641820000.0,474412000.0,321138000.0,132666000.0,,10971596000.0,3277540000.0,305924000.0,265351000.0,1490585000.0,354760000.0,,,,0.24045855582215891,1827528000.0,374785480.0,0.20507783191283527,0.21,USD,GAAP,yfinance,2026-03-30 10:12:28.347652,
ESLT,2025,2025-12-31 00:00:00,7938627000.0,1935253000.0,633489000.0,534339000.0,71574000.0,,12661518000.0,4129598000.0,255625000.0,635141000.0,1497180000.0,324650000.0,,,,0.24377678910975412,2252902000.0,500456310.0,0.22213851734340864,0.21,USD,GAAP,yfinance,2026-03-30 10:12:28.347652,
