ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
LDOS,2021,,13617000000.0,,1152000000.0,753000000.0,185000000.0,,13261000000.0,4291000000.0,,727000000.0,6744000000.0,1081000000.0,,,,,,910080000.0,,0.21,USD,GAAP,edgar,2026-03-13 09:38:32.681922,
LDOS,2022,,14287000000.0,,1088000000.0,685000000.0,,,13071000000.0,4299000000.0,,516000000.0,6696000000.0,856000000.0,,,,,,859520000.0,,0.21,USD,GAAP,edgar,2026-03-13 09:38:32.681922,
LDOS,2023,,15339000000.0,,621000000.0,199000000.0,,,12695000000.0,4201000000.0,,641000000.0,6112000000.0,663000000.0,,,,,,490590000.0,,0.21,USD,GAAP,edgar,2026-03-13 09:38:32.681922,
LDOS,2025,,16576000000.0,,1827000000.0,1254000000.0,,,13010000000.0,4412000000.0,,849000000.0,6084000000.0,513000000.0,,,,,,1443330000.0,,0.21,USD,GAAP,edgar,2026-03-13 09:38:32.681922,
LDOS,2026,,17107000000.0,,2109000000.0,1448000000.0,,,13493000000.0,4916000000.0,,1108000000.0,6342000000.0,458000000.0,,,,,,1666110000.0,,0.21,USD,GAAP,edgar,2026-03-13 09:38:32.681922,
