ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
AXON,2021,,863381000.0,540910000.0,-168123000.0,-60018000.0,,,1688210000.0,1050233000.0,,356332000.0,43592000.0,13767000.0,,,49886000.0,0.6265020888808069,,-132817170.0,,0.21,USD,GAAP,edgar,2026-03-23 09:57:50.988570,
AXON,2022,,1187143000.0,726113000.0,92973000.0,146930000.0,,,2851894000.0,1270666000.0,,353684000.0,44983000.0,10339000.0,,,55802000.0,0.6116474594888737,,73448670.0,,0.21,USD,GAAP,edgar,2026-03-23 09:57:50.988570,
AXON,2023,,430376000.0,263992000.0,42747000.0,57061000.0,,,3409174000.0,1615765000.0,,598545000.0,57945000.0,17696000.0,,,59635000.0,0.6133985166459096,,33770130.0,,0.21,USD,GAAP,edgar,2026-03-23 09:57:50.988570,
AXON,2024,,2082526000.0,1241380000.0,58540000.0,377034000.0,,,4474588000.0,2327665000.0,680289000.0,454844000.0,756838000.0,132485000.0,,,78785000.0,0.596093398113637,1796272000.0,46246600.0,0.02574587812981553,0.21,USD,GAAP,edgar,2026-03-23 09:57:50.988570,
AXON,2025,,2779536000.0,1658125000.0,-62076000.0,124656000.0,,,7000313000.0,3242658000.0,1810722000.0,1201147000.0,1370189000.0,178856000.0,,,136258000.0,0.5965474093517767,2482044000.0,-49040040.0,-0.01975792532283876,0.21,USD,GAAP,edgar,2026-03-23 09:57:50.988570,
