ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
ETN,2021,,19628000000.0,,,2144000000.0,144000000.0,,34027000000.0,16413000000.0,8566000000.0,297000000.0,14751000000.0,,,,575000000.0,,9931000000.0,,,0.21,USD,GAAP,edgar,2026-04-27 10:56:14.373228,
ETN,2022,,20752000000.0,,,2462000000.0,,,35014000000.0,17038000000.0,8331000000.0,294000000.0,14796000000.0,,,,598000000.0,,10279000000.0,,,0.21,USD,GAAP,edgar,2026-04-27 10:56:14.373228,
ETN,2023,,23196000000.0,,,3218000000.0,,,38432000000.0,19036000000.0,9261000000.0,488000000.0,14977000000.0,,,,757000000.0,,12832000000.0,,,0.21,USD,GAAP,edgar,2026-04-27 10:56:14.373228,
ETN,2024,,24878000000.0,,,3794000000.0,,,38381000000.0,18488000000.0,9152000000.0,555000000.0,14713000000.0,,,,808000000.0,,12372000000.0,,,0.21,USD,GAAP,edgar,2026-04-27 10:56:14.373228,
ETN,2025,,27448000000.0,,,4087000000.0,,,41251000000.0,19425000000.0,9894000000.0,622000000.0,15769000000.0,,,,919000000.0,,12928000000.0,,,0.21,USD,GAAP,edgar,2026-04-27 10:56:14.373228,
