ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
LDO.MI,2021,2021-12-31,14135000000.0,1365000000.0,890000000.0,586000000.0,137000000.0,,28379000000.0,6428000000.0,3454000000.0,2479000000.0,3836000000.0,3243000000.0,,,,0.09656880084895648,3567000000.0,667500000.0,0.18713204373423045,0.25,EUR,IFRS,yfinance,2026-03-13 09:38:26.636316,
LDO.MI,2022,2022-12-31,14713000000.0,1559000000.0,1099000000.0,927000000.0,116000000.0,,28582000000.0,7183000000.0,3039000000.0,1511000000.0,3925000000.0,3485000000.0,,,,0.10596071501393325,4786000000.0,824250000.0,0.1722210614291684,0.25,EUR,IFRS,yfinance,2026-03-13 09:38:26.636316,
LDO.MI,2023,2023-12-31,15291000000.0,1650000000.0,971000000.0,658000000.0,147000000.0,,30693000000.0,7800000000.0,2354000000.0,2407000000.0,3899000000.0,3666000000.0,,,,0.1079066117323916,3848000000.0,728250000.0,0.189254158004158,0.25,EUR,IFRS,yfinance,2026-03-13 09:38:26.636316,
LDO.MI,2024,2024-12-31,17763000000.0,2016000000.0,1587000000.0,1074000000.0,141000000.0,,33673000000.0,8990000000.0,1817000000.0,2556000000.0,4537000000.0,4191000000.0,,,,0.11349434217193041,3714000000.0,1190250000.0,0.3204765751211632,0.25,EUR,IFRS,yfinance,2026-03-13 09:38:26.636316,
