ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
PPL,2021,,5838000000.0,,1424000000.0,-1480000000.0,918000000.0,,33223000000.0,13723000000.0,11140000000.0,3571000000.0,716000000.0,,,,1973000000.0,,20576000000.0,1124960000.0,0.05467340590979782,0.21,USD,GAAP,edgar,2026-03-30 10:12:19.688918,
PPL,2022,,7786000000.0,,1374000000.0,756000000.0,513000000.0,,37837000000.0,13915000000.0,13243000000.0,356000000.0,2248000000.0,,,,2155000000.0,,24554000000.0,1085460000.0,0.044207053840514786,0.21,USD,GAAP,edgar,2026-03-30 10:12:19.688918,
PPL,2023,,8290000000.0,,1630000000.0,740000000.0,666000000.0,,39236000000.0,13933000000.0,14612000000.0,331000000.0,2247000000.0,,,,2390000000.0,,25967000000.0,1287700000.0,0.04958986405822775,0.21,USD,GAAP,edgar,2026-03-30 10:12:19.688918,
PPL,2024,,8444000000.0,,1740000000.0,888000000.0,738000000.0,,41069000000.0,,16503000000.0,306000000.0,2247000000.0,,,,2805000000.0,,,1374600000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:12:19.688918,
PPL,2025,,9170000000.0,,2129000000.0,1181000000.0,808000000.0,,45244000000.0,,18894000000.0,1071000000.0,2247000000.0,,,,4030000000.0,,,1681910000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:12:19.688918,
