ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
XYL,2021,,5195000000.0,1975000000.0,585000000.0,427000000.0,76000000.0,,8276000000.0,3218000000.0,,1349000000.0,2792000000.0,,,,,0.3801732435033686,,462150000.0,,0.21,USD,GAAP,edgar,2026-03-23 09:56:17.059441,
XYL,2022,,5522000000.0,2084000000.0,622000000.0,355000000.0,50000000.0,,7952000000.0,3494000000.0,,944000000.0,2719000000.0,,,,,0.37739949293734154,,491380000.0,,0.21,USD,GAAP,edgar,2026-03-23 09:56:17.059441,
XYL,2023,,7364000000.0,2717000000.0,652000000.0,609000000.0,49000000.0,,16112000000.0,10166000000.0,,1019000000.0,7587000000.0,,,,,0.3689570885388376,,515080000.0,,0.21,USD,GAAP,edgar,2026-03-23 09:56:17.059441,
XYL,2024,,8562000000.0,3212000000.0,1009000000.0,890000000.0,,,16493000000.0,10642000000.0,2031000000.0,1121000000.0,7980000000.0,,,,,0.37514599392665265,3572000000.0,797110000.0,0.22315509518477045,0.21,USD,GAAP,edgar,2026-03-23 09:56:17.059441,
XYL,2025,,9035000000.0,3475000000.0,1223000000.0,957000000.0,,,17634000000.0,11480000000.0,1954000000.0,1479000000.0,8332000000.0,,,,,0.38461538461538464,3623000000.0,966170000.0,0.26667678719293403,0.21,USD,GAAP,edgar,2026-03-23 09:56:17.059441,
