ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
NXPI,2021,,11063000000.0,6067000000.0,2583000000.0,1871000000.0,369000000.0,,20864000000.0,6528000000.0,10650000000.0,2830000000.0,9961000000.0,1694000000.0,,,767000000.0,0.5484045918828527,4387000000.0,2040570000.0,0.4651401869158879,0.21,USD,GAAP,edgar,2026-03-16 09:58:05.242215,
NXPI,2022,,13205000000.0,7517000000.0,3797000000.0,2787000000.0,427000000.0,,23236000000.0,7449000000.0,11250000000.0,3845000000.0,9943000000.0,1311000000.0,,,1063000000.0,0.5692540704278682,4911000000.0,2999630000.0,0.6107982081042558,0.21,USD,GAAP,edgar,2026-03-16 09:58:05.242215,
NXPI,2023,,13276000000.0,7553000000.0,3661000000.0,2797000000.0,438000000.0,,24353000000.0,8644000000.0,11250000000.0,3862000000.0,9955000000.0,922000000.0,,,827000000.0,0.5689213618559807,6077000000.0,2892190000.0,0.4759239756458779,0.21,USD,GAAP,edgar,2026-03-16 09:58:05.242215,
NXPI,2024,,12614000000.0,7119000000.0,3417000000.0,2510000000.0,398000000.0,,24385000000.0,9183000000.0,10420000000.0,3292000000.0,9930000000.0,836000000.0,,,727000000.0,0.5643729189789123,6381000000.0,2699430000.0,0.42304184297132114,0.21,USD,GAAP,edgar,2026-03-16 09:58:05.242215,
NXPI,2025,,12269000000.0,6716000000.0,3047000000.0,2021000000.0,466000000.0,,26560000000.0,10056000000.0,11040000000.0,3267000000.0,10299000000.0,1547000000.0,,,397000000.0,0.5473958757844976,7530000000.0,2407130000.0,0.31967197875166004,0.21,USD,GAAP,edgar,2026-03-16 09:58:05.242215,
