ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
NRG,2021,,26777000000.0,,3341000000.0,2187000000.0,485000000.0,,23182000000.0,,8100000000.0,250000000.0,1795000000.0,2511000000.0,,,269000000.0,,,2639390000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:12:25.923506,
NRG,2022,,31488000000.0,,2018000000.0,1221000000.0,417000000.0,,29146000000.0,,8100000000.0,430000000.0,1650000000.0,2132000000.0,,,367000000.0,,,1594220000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:12:25.923506,
NRG,2023,,28256000000.0,,384000000.0,-202000000.0,667000000.0,,26038000000.0,,10940000000.0,541000000.0,5079000000.0,3927000000.0,,,598000000.0,,,303360000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:12:25.923506,
NRG,2024,,27748000000.0,,2424000000.0,1125000000.0,,,24022000000.0,,10892000000.0,966000000.0,5011000000.0,2908000000.0,,,472000000.0,,,1914960000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:12:25.923506,
NRG,2025,,30347000000.0,,1845000000.0,864000000.0,,,29140000000.0,,,4708000000.0,5017000000.0,2309000000.0,,,1147000000.0,,,1457550000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:12:25.923506,
