ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
ARM,2021,2021-03-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.21,USD,GAAP,yfinance,2026-03-23 09:58:09.334997,
ARM,2022,2022-03-31 00:00:00,2703000000.0,2572000000.0,680000000.0,549000000.0,,,6510000000.0,3548000000.0,261000000.0,1004000000.0,1636000000.0,205000000.0,,,,0.9515353311135775,1169000000.0,537200000.0,0.45953806672369546,0.21,USD,GAAP,yfinance,2026-03-23 09:58:09.334997,
ARM,2023,2023-03-31 00:00:00,2679000000.0,2573000000.0,678000000.0,524000000.0,,,6866000000.0,4051000000.0,221000000.0,1554000000.0,1620000000.0,138000000.0,,,,0.9604329973870848,1098000000.0,535620000.0,0.4878142076502732,0.21,USD,GAAP,yfinance,2026-03-23 09:58:09.334997,
ARM,2024,2024-03-31 00:00:00,3233000000.0,3079000000.0,117000000.0,306000000.0,,,7927000000.0,5295000000.0,226000000.0,1923000000.0,1625000000.0,152000000.0,,,,0.952366223321992,1973000000.0,92430000.0,0.046847440446021286,0.21,USD,GAAP,yfinance,2026-03-23 09:58:09.334997,
ARM,2025,2025-03-31 00:00:00,4007000000.0,3886000000.0,831000000.0,792000000.0,,,8932000000.0,6839000000.0,356000000.0,2085000000.0,1620000000.0,151000000.0,,,,0.9698028450212128,3490000000.0,656490000.0,0.1881060171919771,0.21,USD,GAAP,yfinance,2026-03-23 09:58:09.334997,
