ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
HBM.TO,2021,2021-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.25,CAD,IFRS,yfinance,2026-03-16 09:57:00.134657,
HBM.TO,2022,2022-12-31 00:00:00,1461440000.0,276888000.0,191256000.0,70382000.0,95441000.0,,4325943000.0,1571809000.0,1184162000.0,225665000.0,0.0,4767000.0,,,,0.1894624479964966,2530306000.0,143442000.0,0.056689586160725225,0.25,CAD,IFRS,yfinance,2026-03-16 09:57:00.134657,
HBM.TO,2023,2023-12-31 00:00:00,1690000000.0,392500000.0,257700000.0,66400000.0,105900000.0,,5312600000.0,2096800000.0,1287500000.0,249800000.0,75300000.0,4000000.0,,,,0.23224852071005916,3059200000.0,193275000.0,0.06317828190376569,0.25,CAD,IFRS,yfinance,2026-03-16 09:57:00.134657,
HBM.TO,2024,2024-12-31 00:00:00,2021200000.0,553800000.0,352300000.0,76700000.0,100700000.0,,5487600000.0,2553200000.0,1107500000.0,541800000.0,69200000.0,5500000.0,,,,0.2739956461508015,3049700000.0,264225000.0,0.08663966947568613,0.25,CAD,IFRS,yfinance,2026-03-16 09:57:00.134657,
HBM.TO,2025,2025-12-31 00:00:00,2211000000.0,743200000.0,1001600000.0,568500000.0,89600000.0,,6223300000.0,3231000000.0,536500000.0,568900000.0,72600000.0,7100000.0,,,,0.3361374943464496,3126000000.0,751200000.0,0.2403071017274472,0.25,CAD,IFRS,yfinance,2026-03-16 09:57:00.134657,
