ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
LMT,2021,,67044000000.0,9061000000.0,9123000000.0,6315000000.0,569000000.0,,50873000000.0,10959000000.0,11676000000.0,3604000000.0,10813000000.0,1819000000.0,,,,0.13515005071296463,8218000000.0,7207170000.0,0.8769980530542711,0.21,USD,GAAP,edgar,2026-03-30 10:11:20.666248,
LMT,2022,,65984000000.0,8287000000.0,8348000000.0,5732000000.0,623000000.0,,52880000000.0,9266000000.0,15547000000.0,2547000000.0,10780000000.0,1572000000.0,,,,0.12559105237633367,11486000000.0,6594920000.0,0.5741702942712867,0.21,USD,GAAP,edgar,2026-03-30 10:11:20.666248,
LMT,2023,,67571000000.0,8479000000.0,8507000000.0,6920000000.0,916000000.0,,52456000000.0,6835000000.0,17459000000.0,1442000000.0,10799000000.0,1325000000.0,,,,0.125482825472466,12053000000.0,6720530000.0,0.5575815149755248,0.21,USD,GAAP,edgar,2026-03-30 10:11:20.666248,
LMT,2024,,71043000000.0,6930000000.0,7013000000.0,5336000000.0,,,55617000000.0,6333000000.0,20270000000.0,2483000000.0,11067000000.0,1178000000.0,,,,0.09754655631096659,13053000000.0,5540270000.0,0.42444418907530834,0.21,USD,GAAP,edgar,2026-03-30 10:11:20.666248,
LMT,2025,,75048000000.0,7619000000.0,7731000000.0,5017000000.0,,,59840000000.0,6721000000.0,21700000000.0,4121000000.0,11314000000.0,1050000000.0,,,,0.10152169278328536,12986000000.0,6107490000.0,0.4703134144463268,0.21,USD,GAAP,edgar,2026-03-30 10:11:20.666248,
