ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
LEU,2021,,298300000.0,114500000.0,68300000.0,175000000.0,,,572400000.0,-141900000.0,101800000.0,193800000.0,,54700000.0,,,1200000.0,0.38384177003017095,,53957000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:10:45.936176,
LEU,2022,,293800000.0,117900000.0,59700000.0,52200000.0,,,705500000.0,-74100000.0,95700000.0,179900000.0,,45700000.0,,,700000.0,0.4012933968686181,,47163000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:10:45.936176,
LEU,2023,,320200000.0,112100000.0,52400000.0,84400000.0,,,796200000.0,32300000.0,89600000.0,201200000.0,,39400000.0,,,1600000.0,0.35009369144284824,,41396000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:10:45.936176,
LEU,2024,,442000000.0,111500000.0,48000000.0,73200000.0,,,1093400000.0,161400000.0,472500000.0,671400000.0,,29600000.0,,,4100000.0,0.252262443438914,,37920000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:10:45.936176,
LEU,2025,,448700000.0,117500000.0,50200000.0,77800000.0,,,2445900000.0,765100000.0,1174800000.0,1957200000.0,,21200000.0,,,19700000.0,0.26186761756184534,,39658000.0,,0.21,USD,GAAP,edgar,2026-03-30 10:10:45.936176,
