ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
ASM.AS,2021,2021-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,0.25,EUR,IFRS,yfinance,2026-03-23 09:57:17.414167,
ASM.AS,2022,2022-12-31 00:00:00,2410927000.0,1142881000.0,506499000.0,389113000.0,1523000.0,,3750789000.0,2749319000.0,28124000.0,419015000.0,320818000.0,646104000.0,,,,0.4740421422963035,2037610000.0,379874250.0,0.18643128469137862,0.25,EUR,IFRS,yfinance,2026-03-23 09:57:17.414167,
ASM.AS,2023,2023-12-31 00:00:00,2634331000.0,1271696000.0,870466000.0,752073000.0,3945000.0,,4226727000.0,3226811000.0,33558000.0,636764000.0,320167000.0,705622000.0,,,,0.48273964053871743,2303438000.0,652849500.0,0.28342395150205907,0.25,EUR,IFRS,yfinance,2026-03-23 09:57:17.414167,
ASM.AS,2024,2024-12-31 00:00:00,2932700000.0,1481400000.0,869800000.0,685700000.0,1900000.0,,5161900000.0,3747200000.0,11700000.0,927000000.0,321300000.0,815500000.0,,,,0.5051317898182562,2510600000.0,652350000.0,0.25983828566876443,0.25,EUR,IFRS,yfinance,2026-03-23 09:57:17.414167,
ASM.AS,2025,2025-12-31 00:00:00,3173200000.0,1643600000.0,925800000.0,723700000.0,900000.0,,5337000000.0,4005800000.0,13900000.0,1026800000.0,340500000.0,996100000.0,,,,0.5179629396193117,2652400000.0,694350000.0,0.26178178253657064,0.25,EUR,IFRS,yfinance,2026-03-23 09:57:17.414167,
