ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
AEE,2021,,6394000000.0,,1333000000.0,,383000000.0,,35735000000.0,9700000000.0,13182000000.0,8000000.0,411000000.0,,,,3479000000.0,,22463000000.0,1053070000.0,0.046880203000489694,0.21,USD,GAAP,edgar,2026-03-23 09:56:30.170044,
AEE,2022,,7957000000.0,,1515000000.0,,486000000.0,,37904000000.0,10508000000.0,14147000000.0,10000000.0,411000000.0,,,,3351000000.0,,24234000000.0,1196850000.0,0.049387224560534786,0.21,USD,GAAP,edgar,2026-03-23 09:56:30.170044,
AEE,2023,,7500000000.0,,1558000000.0,,566000000.0,,40830000000.0,11349000000.0,16107000000.0,25000000.0,411000000.0,,,,3597000000.0,,27020000000.0,1230820000.0,0.04555218356772761,0.21,USD,GAAP,edgar,2026-03-23 09:56:30.170044,
AEE,2024,,7623000000.0,,1516000000.0,,663000000.0,,44598000000.0,12114000000.0,17799000000.0,7000000.0,411000000.0,,,,4319000000.0,,29495000000.0,1197640000.0,0.04060484827936939,0.21,USD,GAAP,edgar,2026-03-23 09:56:30.170044,
AEE,2025,,8799000000.0,,2026000000.0,,776000000.0,,48476000000.0,13401000000.0,19431000000.0,13000000.0,411000000.0,,,,4128000000.0,,32408000000.0,1600540000.0,0.04938718834855591,0.21,USD,GAAP,edgar,2026-03-23 09:56:30.170044,
