ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
PSN,2021,,3660771000.0,,132446000.0,64072000.0,17697000.0,,3830940000.0,1900768000.0,591922000.0,342608000.0,1412690000.0,207821000.0,,,,,737392000.0,104632340.0,0.14189513854232214,0.21,USD,GAAP,edgar,2026-04-06 10:05:05.354905,
PSN,2022,,4195272000.0,,185666000.0,96664000.0,23185000.0,,4198142000.0,2043570000.0,743605000.0,262539000.0,1661850000.0,254127000.0,,,,,862786000.0,146676140.0,0.17000292077061982,0.21,USD,GAAP,edgar,2026-04-06 10:05:05.354905,
PSN,2023,,5442749000.0,,288358000.0,161149000.0,31497000.0,,4804061000.0,2287211000.0,745963000.0,272943000.0,1792665000.0,275566000.0,,,,,967566000.0,227802820.0,0.2354390501526511,0.21,USD,GAAP,edgar,2026-04-06 10:05:05.354905,
PSN,2024,,1734317000.0,,99812000.0,54180000.0,51582000.0,,5487962000.0,2416389000.0,784096000.0,453548000.0,2082680000.0,349937000.0,,,,,664257000.0,78851480.0,0.1187062838630229,0.21,USD,GAAP,edgar,2026-04-06 10:05:05.354905,
PSN,2025,,6364245000.0,,418074000.0,241139000.0,51303000.0,,5769534000.0,2642020000.0,1237816000.0,466388000.0,2186650000.0,325880000.0,,,,,1226798000.0,330278460.0,0.2692199204759056,0.21,USD,GAAP,edgar,2026-04-06 10:05:05.354905,
