ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
BA.L,2021,2021-12-31 00:00:00,19521000000.0,12560000000.0,2424000000.0,1758000000.0,314000000.0,,27135000000.0,7436000000.0,4604000000.0,2834000000.0,10910000000.0,806000000.0,,,,0.6434096613902976,,1818000000.0,,0.25,GBP,IFRS,yfinance,2026-03-30 10:10:50.129506,
BA.L,2022,2022-12-31 00:00:00,21258000000.0,14164000000.0,2295000000.0,1591000000.0,306000000.0,,31462000000.0,11215000000.0,5189000000.0,3052000000.0,11819000000.0,825000000.0,,,,0.6662903377551981,1533000000.0,1721250000.0,1.1227984344422701,0.25,GBP,IFRS,yfinance,2026-04-27 10:56:22.086946,
BA.L,2023,2023-12-31 00:00:00,23078000000.0,15205000000.0,2665000000.0,1857000000.0,339000000.0,,32064000000.0,10559000000.0,4432000000.0,4067000000.0,11386000000.0,713000000.0,,,,0.658852586879279,,1998750000.0,,0.25,GBP,IFRS,yfinance,2026-04-27 10:56:22.086946,
BA.L,2024,2024-12-31 00:00:00,26312000000.0,17227000000.0,2887000000.0,1956000000.0,555000000.0,,38142000000.0,11616000000.0,7713000000.0,3378000000.0,13297000000.0,2965000000.0,,,,0.6547202797202797,2654000000.0,2165250000.0,0.8158440090429541,0.25,GBP,IFRS,yfinance,2026-04-27 10:56:22.086946,
BA.L,2025,2025-12-31 00:00:00,28336000000.0,18474000000.0,3076000000.0,2062000000.0,504000000.0,,37679000000.0,11784000000.0,7190000000.0,3438000000.0,12732000000.0,2513000000.0,,,,0.6519621682665161,2804000000.0,2307000000.0,0.822753209700428,0.25,GBP,IFRS,yfinance,2026-04-27 10:56:22.086946,
