ticker,fiscal_year,report_date,revenue,gross_profit,ebit,net_income,interest_expense,tax_expense,total_assets,total_equity,total_debt,cash,goodwill,intangible_assets,right_of_use_assets,lease_liabilities,capex,gross_margin,invested_capital,nopat,roic,effective_tax_rate,currency,accounting_std,source,fetched_at,t_k
LAC,2023,,,,,-5088000.0,,,436891000.0,384929000.0,,195516000.0,,,,,188944000.0,,,,,0.21,USD,GAAP,edgar,2026-03-23 09:57:05.947089,
LAC,2024,,,,,-42633000.0,,,1044944000.0,635004000.0,,593885000.0,,,,,177693000.0,,,,,0.21,USD,GAAP,edgar,2026-03-23 09:57:05.947089,
LAC,2025,,,,,-86262000.0,,,2579048000.0,1058754000.0,,568226000.0,,,,,765044000.0,,,,,0.21,USD,GAAP,edgar,2026-03-23 09:57:05.947089,
