ticker,score_date,physical_raw,physical_norm,physical_confidence,quality_score,quality_confidence,roic_wacc_spread,margin_snr,inflation_convexity,crowding_score,crowding_confidence,etf_correlation,trends_norm,short_pct,composite_score,composite_confidence,mu_estimate,sigma_estimate,kelly_fraction,kelly_25pct,entry_signal,exit_signal,autocorr_delta,absorption_delta,etf_corr_score,short_interest_score,swing_score,swing_confidence,rs_rank,breakout_score,vcp_score
FLR,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.2695,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.3168,0.0,0.3994,0.0,0.2711,1.0,0.4423,0.0,0.4711
PLL,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.5,0.0,,,,,0.3233,,,,,False,False,0.0,0.0,0.0,0.0,0.1942,0.2892,0.2356,0.0,0.5
MTRN,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.5323,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,0.1346,0.0,0.0,0.0,0.4944,1.0,0.6827,0.3827,0.341
URG,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.2518,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.3166,0.0,0.2638,0.0,0.3815,1.0,0.7212,0.0,0.4651
TSM,2026-04-20,1.5,0.999,1.0,1.0,0.75,0.355,21.3646,1.6612,0.2361,0.4239,,,,0.7631,0.8072,0.2718,,,,True,False,-0.2941,0.0,0.1103,0.0,0.4921,1.0,0.7692,0.3007,0.3208
IPGP,2026-04-20,2.0,0.999,1.0,0.0,0.0,,,,0.3688,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.0911,0.0,0.0,0.0,0.4306,1.0,0.8413,0.0,0.4703
CLS,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.288,0.4239,,,,0.0,0.4222,0.0429,,,,False,True,-0.2026,0.0,0.0,0.0,0.6624,1.0,0.9615,0.5451,0.2986
ABBNY,2026-04-20,2.0,0.999,1.0,1.0,0.75,0.4283,9.8245,0.0044,0.5185,0.4239,,,,0.481,0.8072,0.1753,,,,False,False,0.1155,0.0,0.0,0.0,0.3913,1.0,0.5913,0.2742,0.2255
NKT.CO,2026-04-20,1.5,0.999,1.0,1.0,0.75,0.2695,54.9058,-0.4003,0.6327,0.4185,,,,0.3669,0.806,0.1411,,,,False,False,0.1552,0.0,0.655,0.0,0.4157,1.0,0.5769,0.3081,0.3083
MYRG,2026-04-20,1.5,0.999,1.0,0.7676,0.9167,0.1799,6.5524,0.8068,0.4342,0.4239,,,,0.4339,0.8461,0.1731,,,,False,False,-0.1222,0.0,0.6743,0.0,0.574,1.0,0.9135,0.3691,0.305
RR.L,2026-04-20,2.0,0.999,1.0,0.0,0.0,,13.8451,0.6364,0.4975,0.4239,,,,0.0,0.6322,0.031,,,,False,True,-0.0286,0.0,0.6401,0.0,0.3512,1.0,0.5288,0.3051,0.0881
CCJ,2026-04-20,2.0,0.999,1.0,0.0,0.75,-0.003,3.2616,-1.1697,0.425,0.5029,,,,0.0,0.8257,0.0429,,,,False,True,-0.0585,0.0,0.3726,0.0,0.4762,1.0,0.8702,0.0,0.6406
LEU,2026-04-20,1.5,0.999,1.0,0.0,0.0,,4.7774,1.1119,0.2585,0.5029,,,,0.0,0.6507,0.0429,,,,False,True,-0.2613,0.0,0.0,0.0,0.4533,1.0,0.8606,0.0,0.5453
HO.PA,2026-04-20,2.0,0.999,1.0,1.0,0.6667,0.6312,47.5319,0.1338,0.5159,0.4239,,,,0.4836,0.7878,0.1761,,,,False,False,0.078,0.0,0.1883,0.0,0.1793,1.0,0.101,0.2152,0.264
